Ref Manip,,,,,,Chambre consignes,,Ambiant,,,,Temps,,,Cryostat,,,,Substrat,,Goutte,,,,Camera,,,,,,,,Geometrical data,,,,,,,,time_calc,,,,Real values,,
date,serie,completed,completed_2,etat,lieu,Ta,phi,Ta_int,Ta_ext,phi_int,phi_ext,t_nuc_mes,t_end_mes,t_dif_mes,ref_therm,Tc_sta,Tc_set,Tc_nuc,alpha,ref,n_freezing,type,insulation,capillaire_ref,mire,fps,exp,delay,Remarques,del_exp_real,fps_real,px_mm,ca_left,ca_right,symmetrical,v_theo,v_theo_mm,z0,rc,r0,t_nuc_calc,t_ref_calc,t_end_calc,t_dif_calc,z_r_ratio,t_dif_calc_usi,Delta_t_dif_mes_calc
dd-mm-yyyy,int,bool,bool,"(0, 1, 2, 3)",Dans la chambre : 1 sinon 0,°C,%,°C,°C,%,%,mm:ss,mm:ss,mm:ss,,°C,°C,°C,°,None,None,None,Bool,None,Bool,i/s,ms,ms,None,ms,i/s,px/m,°,°,bool,px**3,mm^3,px,px,px,frame,frame,frame,frame,1,mm:ss,mm:ss
29-03-2018,1,TRUE,1,1,0,NaN,NaN,NaN,"22,3",NaN,"41,8",NaN,02'03'',NaN,Tw-10,"-10,0","-10,0","-10,0","0,0",Cu20b,1,a,Non,,,"2,00",RAS,RAS,,NaN,"2,00",146500,47,42,Oui,"67431932,21","21,45",202,524,446,103,98,161,58,"0,45",00'29'',NaN
29-03-2018,2,FALSE,0,0,0,NaN,NaN,NaN,"22,7",NaN,"41,9",NaN,03'45'',NaN,qw2,"-10,0","10,0","7,9","0,0",Cu20b,1,b,Non,,,"1,00",RAS,RAS,Etallement,NaN,"1,00",,,,,0,"0,00",,,,68,,162,94,#DIV/0!,01'34'',NaN
29-03-2018,3,FALSE,0,0,0,NaN,NaN,NaN,"22,4",NaN,"39,1",NaN,NaN,NaN,Tw-10,"-10,0","-10,0","-10,0","0,0",Cu20b,1,a,Non,,,"1,00",RAS,RAS,"Givrage dès la dépose (mauvais dégèle ?)
Non-axi",NaN,"1,00",,,,,0,"0,00",,,,107,,158,51,#DIV/0!,00'51'',NaN
29-03-2018,4,FALSE,0,4,0,NaN,NaN,NaN,"22,4",NaN,"39,1",NaN,02'51'',NaN,qw2,"-10,0","10,0","7,7","0,0",Cu20b,1,b,Non,,,"1,00",RAS,RAS,Translation caméra + mvt light,NaN,"1,00",,,,,0,"0,00",,,,,,,0,#DIV/0!,00'00'',NaN
29-03-2018,5,FALSE,0,0,0,NaN,NaN,NaN,"22,8",NaN,"37,9",NaN,17'51'',NaN,qw2,"10,0","-10,0","-10,0","0,0",Cu20b,1,a,Non,,,"1,00",RAS,RAS,"non-axi
étallement perpendiculaire à la vue de face",NaN,"1,00",,,,,0,"0,00",,,,147,,159,12,#DIV/0!,00'12'',NaN
29-03-2018,6,FALSE,0,0,0,NaN,NaN,NaN,"22,8",NaN,"37,7",NaN,03'20'',NaN,qw2,"-10,0","10,0",NaN,"0,0",Cu20b,1,b,Non,,,"1,00",RAS,RAS,"non-axi
étallement",NaN,"1,00",,,,,0,"0,00",,,,,,,0,#DIV/0!,00'00'',NaN
29-03-2018,7,FALSE,0,0,0,NaN,NaN,NaN,"22,0",NaN,"39,5",NaN,16'19'',NaN,qw2,"10,0","-10,0","-10,0","0,0",Cu20b,1,a,Non,,,"1,00",RAS,RAS,Etallement,NaN,"1,00",,,,,0,"0,00",,,,136,132,151,15,#DIV/0!,00'15'',NaN
29-03-2018,8,FALSE,0,0,0,NaN,NaN,NaN,"22,0",NaN,"39,0",NaN,03'15'',NaN,qw2,"-10,0","10,0","7,9","0,0",Cu20b,1,b,Non,,,"1,00",RAS,RAS,Etallement,NaN,"1,00",,,,,0,"0,00",,,,,,,0,#DIV/0!,00'00'',NaN
29-03-2018,9,TRUE,1,1,0,NaN,NaN,NaN,"22,2",NaN,"38,4",NaN,13'29'',NaN,qw2,"10,0","-10,0","-10,0","0,0",Cu10a,1,a,Non,,,"1,00",RAS,RAS,,NaN,"1,00",129400,88,82,Oui,"53692830,19","24,78",262,369,328,117,116,160,43,"0,80",00'43'',NaN
